CompoundGold_Cryolite	0x0825EB0F
CompoundGold_EnhanceItem	0x0825EB51
CompoundGold_Material	0x0825EB38
ConsumeEquiproomItem	0x0810CEF0
ConsumeEquiproomItemEx	0x0810CD40
ConsumeItem	0x0810D6C0
CountFreeRoomByWH	0x0810C790
CreateBiaoChe	0x0810E9A0
CreateChannel	0x081045A0
CreateStores	0x08122CD0
CreateTong	0x0811B020
Cuff	0x0825EA2F
DRS	0x08120E70
DbgPoint	0x08100110
Death	0x08117E00
DegradePlatinaItem	0x0811E1E0
DelBreakPoint	0x080FC140
DelCommonItem	0x0811D4C0
DelItem	0x0811D5D0
DelItemEx	0x0811D3B0
DelMSPlayer	0x081372A0
DelMagic	0x0811C7E0
DelMapTrap	0x08102600
DelNpc	0x08107460
DelObject	0x08106900
DelStationList	0x08110F50
DelTimer	0x08100CA0
DeleteBiaoChe	0x0812D620
DeleteChannel	0x08104560
Describe	0x081242A0
DetachActor	0x0810BF70
DiceLootItem	0x081C14F0
DisableTeamChangeCamp	0x0810F170
DisabledChatCity	0x08130670
DisabledChatWorld	0x08130770
DisabledStall	0x08130980
DisabledTeam	0x08126590
DisabledUseHeart	0x08130870
DisabledUseTownP	0x08130A80
Distill_Cryolite	0x0825EA76
Distill_EnhanceItem	0x0825EA9A
Distill_Equip	0x0825EA65
Distill_OrgMine	0x0825EA86
DoMarry	0x081053A0
DoRelayScript	0x08120E70
DoSmeltEquip	0x08257E10
DoSth	0x08118CC0
DropItem	0x081200B0
DropItemEx	0x0811FD70
DynamicExecute	0x081300B0
DynamicExecuteByPlayer	0x0812FE80
EH_SetCurDurability	0x0810EFB0
ERROR	0x0826D592
Earn	0x08118970
EnchaseItem	0x08116CF0
Enchase_Cryolite	0x0825EAD4
Enchase_EnhanceItem	0x0825EAF9
Enchase_Equip	0x0825EAC3
Enchase_PropMine	0x0825EAE5
EnterChannel	0x081044C0
ExeScript	0x080FB850
FadeInMusic	0x080FB880
FadeOutMusic	0x080FB890
FantasyGoldEquip	0x08116E30
FileName2Id	0x08100E80
File_Create	0x0814A120
FindFreeRoomByWH	0x0810C8E0
FindSpecItemParam2	0x0811CC60
FirstTask	0x08174E30
ForbidChangePK	0x0810F590
ForbidEnmity	0x0810B0F0
ForbitAura	0x08111560
ForbitSkill	0x08121620
ForbitStamina	0x0810CCC0
ForbitSyncAura	0x0810CC10
ForbitSyncName	0x08103CF0
ForbitTalk	0x0810CB70
ForbitTrade	0x08111600
ForceLeaveTong	0x0810FA40
ForceTransferTax	0x08121990
Forge_Cryolite	0x0825EAB5
Forge_Equip	0x0825EAA6
FormatTime2Date	0x081022B0
FormatTime2Number	0x081023B0
FormatTime2String	0x08106720
FoundryItem	0x08116EA0
GMCancleBoxPassword	0x0810EC80
GMLockBox	0x0810EC10
GMMsg2Player	0x081153E0
GMSetBoxPassword	0x0810ECF0
GMTongAddMember	0x08128300
GMTongDismiss	0x08104D40
GMTongSetAddTime	0x08104D80
GMTongSetExp	0x08104E60
GMTongSetLevel	0x08104ED0
GMTongSetMaster	0x08104F40
GMUnlockBox	0x0810EBA0
GameNewSupply	0x08250931
Get120SkillEnhanceExpRate	0x08109F40
GetAccLeftTime	0x0810BDE0
GetAccount	0x0810F6A0
GetAccrueSeries	0x080FC590
GetAllCitySummary	0x08116240
GetAllClothesEquipment	0x0810D050
GetAllEquipValue	0x08108520
GetAllEquipment	0x0810D0F0
GetAllSkillCurInc	0x0811C320
GetArenaBothSides	0x08104680
GetArenaCityArea	0x080FDFF0
GetArenaCredits	0x08108040
GetArenaInfoByCity	0x08121D00
GetArenaLevel	0x08104640
GetArenaSchedule	0x08122000
GetArenaTargetCity	0x080FBE20
GetArenaTotalLevel	0x08129510
GetArenaTotalLevelByCity	0x0812B880
GetAroundNpcList	0x0810E740
GetAroundPlayerList	0x0810E530
GetAutoHangExpValue	0x080FE1D0
GetBiaoChePos	0x0812D3C0
GetBit	0x080FEBA0
GetBitTask	0x081090A0
GetBotDeleteAccountFlag	0x0814E730
GetBotPunishFlag	0x0814E760
GetBoxLockState	0x0810EB40
GetBoxMoney	0x08111670
GetByte	0x080FEA20
GetCamp	0x08114650
GetCash	0x081116D0
GetCashCoin	0x08118800
GetChoose	0x08129C30
GetChooseCount	0x0812AA00
GetCity	0x080FB860
GetCityArea	0x08115C30
GetCityAreaName	0x080FFEB0
GetCityCount	0x080FBC30
GetCityOwner	0x080FFF40
GetCitySummary	0x081223C0
GetCityWarBothSides	0x080FFDA0
GetCityWarTongCamp	0x081228C0
GetColdR	0x08113B20
GetConquerSeries	0x080FC600
GetContribution	0x0811A950
GetCumulateOffer	0x08113FC0
GetCurCamp	0x081146C0
GetCurDurability	0x080FD550
GetCurEquipWishValue	0x080FCE00
GetCurServerTime	0x08103800
GetCurrentMagicLevel	0x0811C3A0
