uid	offset	size	flag	csize	path
29984B2C	55463574	28407	32	22158	\spr\npcres\woman\FM_LH_140_AT04.spr
29A1F5E5	55485732	26414	32	22354	\spr\npcres\woman\FM_HD_132_MG01.spr
29A6D995	55508086	34792	32	30087	\spr\npcres\woman\FM_HD_130_HM01.spr
29A808A5	55538173	89911	32	72386	\spr\npcres\man\MA_LH_130_MG02.spr
29A90A03	55610559	35689	32	30563	\spr\npcres\man\MA_HR_140_HR01.spr
29BF25D2	55641122	50896	32	39054	\spr\npcres\man\MA_HR_131_RN01.spr
29BF782A	55680176	59710	32	45032	\spr\npcres\woman\FM_LH_143_HM01.spr
29C8EEF2	55725208	49976	32	37093	\spr\npcres\woman\FM_RH_133_ST04.spr
29D57FF3	55762301	48566	32	43116	\spr\npcres\woman\FM_RH_153_DE04.spr
29EE5385	55805417	238390	32	194077	\spr\npcres\man\MA_RW_185_HW01.spr
2A29F218	55999494	98451	32	83660	\spr\npcres\woman\FM_RW_291_HA02.spr
2A2D3895	56083154	64796	32	54741	\spr\npcres\woman\FM_RH_135_MG01.spr
2A4935D0	56137895	23042	32	15085	\spr\npcres\woman\FM_LH_131_ST01.spr
2A4B4675	56152980	39872	32	33257	\spr\npcres\man\MA_HR_150_AT06.spr
2A4D6600	56186237	121681	32	102844	\spr\npcres\woman\FM_RW_199_DE02.spr
2A4DDCA0	56289081	50644	32	38712	\spr\npcres\woman\FM_RH_130_IJ01.spr
2A74E7A2	56327793	97629	32	79134	\spr\npcres\woman\FM_BD_142_IJ04.spr
2A75B840	56406927	26626	32	22686	\spr\npcres\man\MA_HD_137_DE02.spr
2A80B10C	56429613	43318	32	35003	\spr\npcres\man\MA_HR_140_ST05.spr
2AACEDD5	56464616	175007	32	138302	\spr\npcres\woman\FM_BD_142_HR01.spr
2AC2854C	56602918	24750	32	18884	\spr\npcres\woman\FM_LH_140_AT05.spr
2AD06FF2	56621802	198023	32	143944	\spr\npcres\man\MA_BD_150_ST03.spr
2AD40F05	56765746	26580	32	22058	\spr\npcres\woman\FM_HD_132_MG02.spr
2AD9450E	56787804	78763	32	57740	\spr\npcres\man\MA_LH_139_ST03.spr
2AD9872C	56845544	159026	32	137030	\spr\npcres\man\MA_LW_187_RD01.spr
2AF12B97	56982574	143621	32	127144	\spr\npcres\man\MA_LW_187_HA01.spr
2B052E4B	57109718	31936	32	27207	\spr\npcres\woman\FM_HR_135_HD01.spr
2B263F27	57136925	91800	32	75004	\spr\npcres\man\MA_LH_130_MG03.spr
2B2DFD7C	57211929	249106	32	200950	\spr\npcres\woman\FM_BD_130_AT01.spr
2B352854	57412879	50987	32	39118	\spr\npcres\man\MA_HR_131_RN02.spr
2B40BC5F	57451997	89344	32	48473	\spr\npcres\woman\FM_RW_194_ST04.spr
2B7257C1	57500470	142841	32	116600	\spr\npcres\man\MA_LW_187_ST06.spr
2B733812	57617070	31431	32	24380	\spr\npcres\woman\FM_RH_133_ST05.spr
2B772743	57641450	26023	32	21312	\spr\npcres\woman\FM_HD_134_HA01.spr
2B7B23E7	57662762	63729	32	49531	\spr\npcres\man\MA_LH_150_ST08.spr
2B841C4F	57712293	30998	32	19844	\spr\npcres\woman\FM_RH_131_RD01.spr
2B87D895	57732137	122642	32	100356	\spr\npcres\man\MA_LH_130_AT02.spr
2B95544F	57832493	153847	32	123932	\spr\npcres\woman\FM_BD_135_WK02.spr
2BC2079E	57956425	77940	32	63191	\spr\npcres\woman\FM_RH_135_AT03.spr
2BC7EA9D	58019616	25015	32	21046	\spr\npcres\woman\FM_HD_135_DE04.spr
2BE3A4C0	58040662	69549	32	57453	\spr\npcres\man\MA_HR_128_MG03.spr
2BE6B35E	58098115	28951	32	24479	\spr\npcres\woman\FM_HD_133_HD01.spr
2BFB6C23	58122594	23864	32	18750	\spr\npcres\woman\FM_LH_140_MG02.spr
2C046AAB	58141344	32659	32	25635	\spr\npcres\woman\FM_HR_134_WK04.spr
2C075013	58166979	72897	32	58780	\spr\npcres\woman\FM_LH_132_MG04.spr
2C120223	58225759	113705	32	93405	\spr\npcres\man\MA_LH_130_MG01.spr
2C1B42CF	58319164	146211	32	129540	\spr\npcres\man\MA_RW_187_HM01.spr
2C34A80A	58448704	111199	32	77480	\spr\npcres\man\MA_LH_139_ST01.spr
2C3F664E	58526184	92100	32	65428	\spr\npcres\man\MA_LH_150_RD01.spr
2C55310C	58591612	26968	32	21665	\spr\npcres\woman\FM_LH_140_AT03.spr
2C5736E3	58613277	69078	32	49650	\spr\npcres\man\MA_LH_150_ST06.spr
2C6231EC	58662927	30341	32	24694	\spr\npcres\man\MA_HD_139_AT07.spr
2C8654D2	58687621	31057	32	20479	\spr\npcres\woman\FM_RH_133_ST03.spr
2C8772C2	58708100	92032	32	76340	\spr\npcres\woman\FM_RW_197_HW01.spr
2C8C0960	58784440	115203	32	101436	\spr\npcres\man\MA_LW_187_HR01.spr
2C9556D2	58885876	277080	32	236622	\spr\npcres\man\MA_BD_137_DE04.spr
2CA225D3	59122498	53329	32	46892	\spr\npcres\woman\FM_RH_153_DE03.spr
2CAEF165	59169390	92396	32	77614	\spr\npcres\woman\FM_RW_187_ST02.spr
2CAF6475	59247004	111538	32	93049	\spr\npcres\woman\FM_RW_190_RN02.spr
2CDE83E7	59340053	83946	32	73222	\spr\npcres\man\MA_RH_132_DE03.spr
2CDF8BCC	59413275	90252	32	75439	\spr\npcres\man\MA_HR_128_MG01.spr
2CE2698E	59488714	34520	32	29214	\spr\npcres\man\MA_HR_135_IJ04.spr
2CEB281F	59517928	65452	32	51451	\spr\npcres\woman\FM_RW_194_ST02.spr
2CFB0891	59569379	57018	32	47482	\spr\npcres\man\MA_HD_135_MG06.spr
2D040F54	59616861	49807	32	33515	\spr\npcres\man\MA_HD_129_RD01.spr
2D0FEBC0	59650376	109811	32	89170	\spr\npcres\woman\FM_RW_191_WK02.spr
2D11A239	59739546	221949	32	181182	\spr\npcres\woman\FM_BD_143_HD01.spr
2D1F2B9E	59920728	54345	32	43668	\spr\npcres\woman\FM_RH_142_AT07.spr
2D2C0B92	59964396	18756	32	15028	\spr\npcres\woman\FM_RH_140_HI01.spr
2D31E056	59979424	83997	32	70766	\spr\npcres\woman\FM_RW_200_IJ05.spr
2D3A62AD	60050190	73116	32	54791	\spr\npcres\woman\FM_RH_130_WK03.spr
2D3C48E5	60104981	43679	32	34502	\spr\npcres\man\MA_HD_129_HA01.spr
2D44D20F	60139483	31393	32	26104	\spr\npcres\man\MA_HD_135_AT05.spr
2D46C15A	60165587	52556	32	36291	\spr\npcres\man\MA_RH_131_RD01.spr
2D4BB2CE	60201878	113192	32	61513	\spr\npcres\woman\FM_BD_153_ST02.spr
2D4CB66C	60263391	34586	32	26074	\spr\npcres\woman\FM_HD_130_ST04.spr
2D4F9C81	60289465	33802	32	27679	\spr\npcres\man\MA_HR_150_MG04.spr
2D532D5E	60317144	32326	32	27329	\spr\npcres\man\MA_HR_139_RN03.spr
2D54B05E	60344473	70779	32	57815	\spr\npcres\woman\FM_RH_135_AT01.spr
2D58513B	60402288	66149	32	52190	\spr\npcres\woman\FM_LH_143_DE02.spr
2D5FEE7D	60454478	98584	32	83562	\spr\npcres\man\MA_RW_192_MG03.spr
2D6A075D	60538040	37079	32	30170	\spr\npcres\woman\FM_HD_135_DE02.spr
2D6F44D1	60568210	59423	32	46985	\spr\npcres\man\MA_HR_140_WK01.spr
2D6F599B	60615195	138867	32	117280	\spr\npcres\woman\FM_BD_140_DE04.spr
2D7421C3	60732475	23463	32	19790	\spr\npcres\man\MA_RH_140_IJ01.spr
2D7A7238	60752265	15699	32	12119	\spr\npcres\woman\FM_HD_129_IJ03.spr
2D7E0AEB	60764384	40614	32	34385	\spr\npcres\man\MA_RH_131_HA01.spr
2D7EADAC	60798769	231275	32	191165	\spr\npcres\woman\FM_BD_134_IJ05.spr
2D884B5A	60989934	35065	32	29285	\spr\npcres\man\MA_RH_138_HI01.spr
2D90131E	61019219	244516	32	196022	\spr\npcres\man\MA_BD_132_WK04.spr
2DA2386B	61215241	13846	32	11977	\spr\npcres\man\MA_HD_150_HI01.spr
2DB1AF95	61227218	44226	32	36995	\spr\npcres\woman\FM_HR_140_ZZ01.spr
2DBCDFE9	61264213	39879	32	28803	\spr\npcres\man\MA_HD_129_ST06.spr
2DE1A3CF	61293016	157557	32	132096	\spr\npcres\man\MA_BD_130_IJ02.spr
2DFE91FF	61425112	37498	32	27848	\spr\npcres\man\MA_RH_131_ST06.spr
2E09D213	61452960	136846	32	111043	\spr\npcres\man\MA_LH_130_AT01.spr
2E4A7F67	61564003	50814	32	39792	\spr\npcres\man\MA_HD_129_HA02.spr
2E54B659	61603795	95929	32	83725	\spr\npcres\man\MA_RH_132_DE04.spr
2E55BE4E	61687520	71723	32	58635	\spr\npcres\man\MA_HR_128_MG02.spr
2E621A2F	61746155	156530	32	126646	\spr\npcres\woman\FM_BD_135_WK01.spr
2E6CBCCD	61872801	73855	32	56669	\spr\npcres\woman\FM_RH_130_WK04.spr
2E781C00	61929470	43373	32	35965	\spr\npcres\man\MA_HR_135_IJ05.spr
2E82D445	61965435	23419	32	18235	\spr\npcres\man\MA_RH_140_IJ02.spr
2E82EB5B	61983670	44104	32	36389	\spr\npcres\woman\FM_LH_143_DE03.spr
2E8D4696	62020059	409075	32	347015	\spr\npcres\man\MA_BD_128_JP01.spr
2E9D517D	62367074	24807	32	20789	\spr\npcres\woman\FM_HD_135_DE03.spr
2E9FCA7E	62387863	68569	32	56586	\spr\npcres\woman\FM_RH_135_AT02.spr
2EAC8C58	62444449	15482	32	13338	\spr\npcres\woman\FM_HD_129_IJ04.spr
2EB0D203	62457787	25071	32	20142	\spr\npcres\woman\FM_LH_140_MG01.spr
2EBE7330	62477929	45656	32	36811	\spr\npcres\woman\FM_HR_130_RD01.spr
2EC4A761	62514740	24979	32	20548	\spr\npcres\woman\FM_HD_129_HR01.spr
2EC58303	62535288	39398	32	33365	\spr\npcres\man\MA_HR_150_MG05.spr
2EC9745A	62568653	149828	32	116086	\spr\npcres\man\MA_RW_186_HR01.spr
2ED2D881	62684739	41370	32	34315	\spr\npcres\man\MA_HD_135_AT06.spr
2EE54B53	62719054	59001	32	45615	\spr\npcres\man\MA_HR_140_WK02.spr
2EE9D3D0	62764669	32396	32	27487	\spr\npcres\man\MA_HR_139_RN04.spr
2EEB01A9	62792156	65481	32	56667	\spr\npcres\man\MA_LH_131_JP01.spr
2EF31E94	62848823	34022	32	26296	\spr\npcres\woman\FM_RH_141_ZZ01.spr
2EF4316D	62875119	48781	32	40136	\spr\npcres\man\MA_RH_131_HA02.spr
2EF7C38C	62915255	23293	32	18740	\spr\npcres\woman\FM_HD_130_ST05.spr
2EFECCEE	62933995	111990	32	67193	\spr\npcres\woman\FM_BD_153_ST03.spr
2F0A50B0	63001188	26332	32	22137	\spr\npcres\man\MA_HD_137_HM01.spr
2F0CC0F9	63023325	71854	32	59253	\spr\npcres\woman\FM_LH_153_WK01.spr
2F0E3016	63082578	31863	32	26470	\spr\npcres\woman\FM_LH_130_HI01.spr
2F375BBC	63109048	101207	32	84426	\spr\npcres\man\MA_HR_128_AT01.spr
2F5E9A7C	63193474	62016	32	53700	\spr\npcres\woman\FM_RH_153_HM01.spr
2F6EFC8C	63247174	81309	32	64469	\spr\npcres\woman\FM_LH_132_AT07.spr
2F785641	63311643	138580	32	117985	\spr\npcres\man\MA_BD_130_IJ03.spr
2F7ACC95	63429628	49786	32	37941	\spr\npcres\woman\FM_RH_142_MG05.spr
2F9F1062	63467569	123486	32	99314	\spr\npcres\woman\FM_BD_142_IJ02.spr
2FA6AD71	63566883	29456	32	24975	\spr\npcres\man\MA_HR_150_AT04.spr
2FA907BE	63591858	41893	32	34462	\spr\npcres\man\MA_RH_137_RN04.spr
2FB6BE6D	63626320	109798	32	96022	\spr\npcres\man\MA_RW_192_AT03.spr
2FCC72FE	63722342	251458	32	133591	\spr\npcres\man\MA_BD_150_ST01.spr
2FD7EA2F	63855933	67300	32	58183	\spr\npcres\man\MA_LH_150_HA01.spr
2FFC8408	63914116	43512	32	35228	\spr\npcres\man\MA_HR_140_ST03.spr
3006B128	63949344	32545	32	23539	\spr\npcres\woman\FM_RH_134_ST04.spr
3017AA53	63972883	237703	32	170393	\spr\npcres\man\MA_BD_131_ST04.spr
30216BD7	64143276	293599	32	235246	\spr\npcres\man\MA_BD_139_HA02.spr
3029680B	64378522	280210	32	237325	\spr\npcres\man\MA_BD_128_HD01.spr
302A4005	64615847	39685	32	33194	\spr\npcres\woman\FM_HR_130_MG01.spr
302DD22C	64649041	49025	32	39870	\spr\npcres\man\MA_RH_132_IJ03.spr
3030CB2C	64688911	39665	32	33138	\spr\npcres\man\MA_HD_130_AT02.spr
304BFFF0	64722049	198277	32	162849	\spr\npcres\man\MA_BD_137_RN01.spr
30502648	64884898	113767	32	94468	\spr\npcres\man\MA_RW_195_MG03.spr
3053C19A	64979366	36828	32	30840	\spr\npcres\man\MA_HD_138_AT05.spr
3063D5B8	65010206	38066	32	25777	\spr\npcres\man\MA_HD_135_ST01.spr
307A3C31	65035983	86099	32	72889	\spr\npcres\man\MA_HR_135_AT08.spr
30852A35	65108872	102208	32	85589	\spr\npcres\man\MA_RH_129_MG01.spr
308CA3D3	65194461	27112	32	22093	\spr\npcres\woman\FM_LH_141_MG01.spr
308CFBC6	65216554	32042	32	26811	\spr\npcres\man\MA_RH_140_AT05.spr
309FFFE3	65243365	41805	32	34446	\spr\npcres\man\MA_HD_129_DE01.spr
30B5F1A6	65277811	199449	32	167222	\spr\npcres\man\MA_BD_131_HR01.spr
30BB5BB3	65445033	27667	32	20021	\spr\npcres\woman\FM_RH_131_WK04.spr
30CDEF72	65465054	13961	32	10470	\spr\npcres\woman\FM_HD_131_ST05.spr
30D9963E	65475524	57773	32	44762	\spr\npcres\woman\FM_RH_142_ZZ01.spr
30D9B1E9	65520286	40891	32	33948	\spr\npcres\man\MA_RH_131_DE01.spr
30E78DA7	65554234	57196	32	43723	\spr\npcres\woman\FM_HR_143_WK01.spr
30F41E26	65597957	56152	32	46816	\spr\npcres\woman\FM_HR_131_RD01.spr
30F696C9	65644773	34929	32	28625	\spr\npcres\man\MA_LH_140_RN01.spr
30FBE244	65673398	36399	32	28876	\spr\npcres\man\MA_HD_139_WK01.spr
3105ABF7	65702274	27004	32	21331	\spr\npcres\man\MA_HD_150_WK06.spr
310F0237	65723605	296783	32	243766	\spr\npcres\man\MA_RW_185_ST01.spr
3131C3C6	65967371	155392	32	129222	\spr\npcres\man\MA_RW_195_AT02.spr
3153247F	66096593	154245	32	132903	\spr\npcres\man\MA_RW_188_AT05.spr
315AB536	66229496	13645	32	10682	\spr\npcres\woman\FM_LH_131_HI01.spr
31655DBE	66240178	29366	32	23328	\spr\npcres\woman\FM_LH_140_JP01.spr
317A7672	66263506	311427	32	265891	\spr\npcres\man\MA_BD_130_AT06.spr
31821E6C	66529397	298947	32	238766	\spr\npcres\man\MA_BD_131_WK02.spr
31923C41	66768163	212819	32	159597	\spr\npcres\man\MA_BD_132_HM01.spr
319A5066	66927760	58087	32	51509	\spr\npcres\woman\FM_LH_153_IJ06.spr
319D7972	66979269	32053	32	26676	\spr\npcres\man\MA_HD_150_HA02.spr
31ADFAC1	67005945	28230	32	22240	\spr\npcres\man\MA_HD_128_ST04.spr
31B5BC0C	67028185	44825	32	36990	\spr\npcres\woman\FM_LH_133_AT07.spr
31B7BDDB	67065175	18438	32	15175	\spr\npcres\woman\FM_RH_143_MG05.spr
31CC618A	67080350	26007	32	21431	\spr\npcres\man\MA_HD_128_HR01.spr
31CEAF0E	67101781	44597	32	36144	\spr\npcres\woman\FM_HR_130_AT03.spr
31D93B3C	67137925	29581	32	24086	\spr\npcres\man\MA_HD_130_MG02.spr
31E0EE48	67162011	15345	32	12903	\spr\npcres\woman\FM_HD_153_IJ02.spr
31E6D25C	67174914	125010	32	98260	\spr\npcres\woman\FM_BD_143_IJ02.spr
320C9D4B	67273174	34988	32	28633	\spr\npcres\man\MA_LH_140_RN02.spr
3213D0B7	67301807	71731	32	60621	\spr\npcres\man\MA_RH_129_MG02.spr
3215E265	67362428	38512	32	32087	\spr\npcres\man\MA_HD_129_DE02.spr
321AEE38	67394515	41146	32	34192	\spr\npcres\man\MA_RH_140_AT06.spr
322AC7C7	67428707	56920	32	43604	\spr\npcres\woman\FM_HR_143_WK02.spr
3237FDF3	67472311	26225	32	20885	\spr\npcres\woman\FM_LH_141_MG02.spr
323D5E44	67493196	27993	32	23696	\spr\npcres\woman\FM_HD_134_HD01.spr
324FF638	67516892	128906	32	109243	\spr\npcres\man\MA_RW_195_AT03.spr
32525A34	67626135	24223	32	20804	\spr\npcres\woman\FM_HR_153_DE06.spr
32535179	67646939	31695	32	25492	\spr\npcres\woman\FM_HD_135_HA01.spr
3257A46B	67672431	38358	32	32692	\spr\npcres\man\MA_RH_131_DE02.spr
326D7C71	67705123	99843	32	78638	\spr\npcres\woman\FM_RW_197_AT02.spr
32703892	67783761	13988	32	8756	\spr\npcres\woman\FM_HD_131_ST06.spr
3271E8C6	67792517	36169	32	26758	\spr\npcres\man\MA_HD_139_WK02.spr
328508A9	67819275	297801	32	215363	\spr\npcres\man\MA_RW_185_ST02.spr
32A9F160	68034638	144182	32	125729	\spr\npcres\woman\FM_LW_200_HA01.spr
32B2062B	68160367	244063	32	161572	\spr\npcres\woman\FM_BD_129_RD01.spr
32B72C52	68321939	54826	32	37955	\spr\npcres\woman\FM_RH_142_ST01.spr
32B87842	68359894	133543	32	113244	\spr\npcres\woman\FM_RW_190_DE02.spr
32E7DD77	68473138	32483	32	26950	\spr\npcres\man\MA_LH_131_ZZ01.spr
32F07CF4	68500088	228167	32	197863	\spr\npcres\man\MA_BD_130_AT07.spr
32FCFA25	68697951	117236	32	97907	\spr\npcres\man\MA_RH_129_AT01.spr
33014FFF	68795858	200410	32	166383	\spr\npcres\man\MA_BD_132_DE01.spr
330E5105	68962241	24372	32	18254	\spr\npcres\woman\FM_HD_142_HW01.spr
331804EE	68980495	299069	32	245974	\spr\npcres\man\MA_BD_131_WK03.spr
331D9B93	69226469	206192	32	153185	\spr\npcres\woman\FM_BD_132_HW01.spr
3322153E	69379654	46501	32	37590	\spr\npcres\woman\FM_RW_292_HA01.spr
33296C7C	69417244	94447	32	72250	\spr\npcres\woman\FM_BD_143_IJ03.spr
33299828	69489494	82199	32	64542	\spr\npcres\woman\FM_LH_132_ZZ01.spr
332B3868	69554036	11451	32	8838	\spr\npcres\woman\FM_HD_153_IJ03.spr
333BE143	69562874	28206	32	22811	\spr\npcres\man\MA_HD_128_ST05.spr
333DDF66	69585685	48070	32	35034	\spr\npcres\woman\FM_HR_133_HM01.spr
334C42B3	69620719	59522	32	43320	\spr\npcres\man\MA_HR_131_HW01.spr
335721BE	69664039	29869	32	24899	\spr\npcres\man\MA_HD_130_MG03.spr
3371F92E	69688938	43485	32	36122	\spr\npcres\woman\FM_HR_130_AT04.spr
33915103	69725060	35569	32	29741	\spr\npcres\woman\FM_LH_133_MG05.spr
339212DA	69754801	24804	32	19634	\spr\npcres\man\MA_HR_129_ZZ01.spr
33A967AB	69774435	48092	32	38610	\spr\npcres\man\MA_RW_292_HA01.spr
33ABEB2E	69813045	24836	32	18425	\spr\npcres\man\MA_HD_150_ST08.spr
33ACD273	69831470	104428	32	88731	\spr\npcres\woman\FM_RW_291_HD01.spr
33B3112D	69920201	71112	32	60824	\spr\npcres\man\MA_LH_150_DE01.spr
33CAEDCB	69981025	23450	32	18294	\spr\npcres\woman\FM_LH_129_DE01.spr
33D4DB76	69999319	30566	32	24411	\spr\npcres\woman\FM_LH_141_AT04.spr
33D88D92	70023730	68475	32	53759	\spr\npcres\woman\FM_RH_130_RN04.spr
33DB823C	70077489	58337	32	51656	\spr\npcres\man\MA_RH_135_DE03.spr
33F2A9DF	70129145	20272	32	16633	\spr\npcres\woman\FM_HD_131_HM01.spr
33FE452F	70145778	26361	32	20855	\spr\npcres\woman\FM_HD_133_MG01.spr
34001B44	70166633	49352	32	41977	\spr\npcres\man\MA_LH_131_HA02.spr
340362EC	70208610	53702	32	45274	\spr\npcres\woman\FM_LH_133_AT06.spr
340772F0	70253884	28284	32	23530	\spr\npcres\man\MA_HD_150_HA01.spr
340D63BB	70277414	23240	32	18050	\spr\npcres\woman\FM_RH_143_MG04.spr
3417F44F	70295464	28405	32	22570	\spr\npcres\man\MA_HD_128_ST03.spr
3424FE23	70318034	81939	32	43988	\spr\npcres\woman\FM_LW_184_ST06.spr
344334BA	70362022	39182	32	33189	\spr\npcres\man\MA_HD_130_MG01.spr
34547A93	70395211	90357	32	75100	\spr\npcres\man\MA_RW_200_HD01.spr
346D072D	70470311	54438	32	47824	\spr\npcres\man\MA_LH_135_HD01.spr
34746BEA	70518135	300195	32	246490	\spr\npcres\man\MA_BD_131_WK01.spr
348415EE	70764625	43531	32	35684	\spr\npcres\woman\FM_HR_130_AT02.spr
3487FE2A	70800309	24983	32	19025	\spr\npcres\man\MA_HD_150_ST06.spr
34B3983C	70819334	126497	32	93659	\spr\npcres\woman\FM_BD_143_IJ01.spr
34BE5428	70912993	15193	32	12747	\spr\npcres\woman\FM_HD_153_IJ01.spr
34C98783	70925740	200186	32	148626	\spr\npcres\woman\FM_BD_130_MG05.spr
34CB692F	71074366	17794	32	14759	\spr\npcres\woman\FM_HD_140_MG05.spr
34EE0B28	71089125	39702	32	31569	\spr\npcres\man\MA_HD_138_MG04.spr
35003AC8	71120694	43710	32	36469	\spr\npcres\man\MA_HD_140_DE04.spr
3503B15F	71157163	296989	32	180992	\spr\npcres\man\MA_BD_131_ST02.spr
35193928	71338155	54951	32	46723	\spr\npcres\man\MA_RH_132_IJ01.spr
351C8671	71384878	27330	32	21897	\spr\npcres\woman\FM_HR_135_WK03.spr
351F2554	71406775	35808	32	27934	\spr\npcres\man\MA_RH_140_MG04.spr
352AD40B	71434709	79843	32	62754	\spr\npcres\man\MA_LH_137_RN04.spr
352D6A1A	71497463	231437	32	180056	\spr\npcres\woman\FM_BD_141_HM01.spr
353350B7	71677519	34917	32	29746	\spr\npcres\man\MA_HR_129_HA02.spr
3537E938	71707265	46952	32	39680	\spr\npcres\man\MA_RH_135_DE01.spr
353BCDC3	71746945	34706	32	28177	\spr\npcres\woman\FM_LH_133_MG03.spr
354FD4A6	71775122	42562	32	33805	\spr\npcres\man\MA_HD_138_AT03.spr
3556033D	71808927	54646	32	43831	\spr\npcres\man\MA_HR_135_AT06.spr
35632652	71852758	71031	32	55577	\spr\npcres\woman\FM_RH_130_RN02.spr
356CD4D7	71908335	48334	32	40013	\spr\npcres\man\MA_RH_128_DE04.spr
357F7736	71948348	29865	32	22527	\spr\npcres\woman\FM_LH_141_AT02.spr
358806A8	71970875	88348	32	75127	\spr\npcres\man\MA_RW_291_MG07.spr
3588A545	72046002	98824	32	75022	\spr\npcres\woman\FM_RW_195_ST01.spr
3593F753	72121024	102150	32	84133	\spr\npcres\woman\FM_RH_153_AT10.spr
359DFA0D	72205157	234275	32	175784	\spr\npcres\man\MA_BD_139_ST05.spr
35A92DE8	72380941	22412	32	15111	\spr\npcres\woman\FM_RH_134_ST02.spr
35B162B5	72396052	127873	32	100106	\spr\npcres\woman\FM_RW_188_ST01.spr
35CDF473	72496158	27788	32	19865	\spr\npcres\woman\FM_RH_131_WK02.spr
35EE610D	72516023	154054	32	129417	\spr\npcres\man\MA_RW_188_MG04.spr
35F4B300	72645440	311666	32	268574	\spr\npcres\man\MA_BD_130_MG05.spr
35F8CEC2	72914014	37864	32	31190	\spr\npcres\man\MA_RH_140_AT03.spr
36084A66	72945204	90792	32	71117	\spr\npcres\man\MA_RH_130_HR01.spr
3647D391	73016321	26965	32	21825	\spr\npcres\woman\FM_HR_135_WK04.spr
364D9FBA	73038146	45317	32	39982	\spr\npcres\man\MA_RH_135_DE02.spr
366431AA	73078128	48857	32	40911	\spr\npcres\man\MA_HD_138_MG05.spr
366E07E3	73119039	41256	32	34651	\spr\npcres\woman\FM_LH_133_MG04.spr
36952BD6	73153690	40335	32	34235	\spr\npcres\man\MA_RH_140_MG05.spr
36967072	73187925	71063	32	55625	\spr\npcres\woman\FM_RH_130_RN03.spr
36972FAA	73243550	57735	32	46211	\spr\npcres\man\MA_RH_132_IJ02.spr
3699A7D1	73289761	238068	32	180621	\spr\npcres\man\MA_BD_131_ST03.spr
36A18156	73470382	28893	32	23753	\spr\npcres\woman\FM_LH_141_AT03.spr
36AB6555	73494135	247727	32	203233	\spr\npcres\man\MA_BD_139_HA01.spr
36BAC4AA	73697368	44298	32	37173	\spr\npcres\man\MA_HD_130_AT01.spr
36C5DB18	73734541	36777	32	30236	\spr\npcres\man\MA_HD_138_AT04.spr
36C60173	73764777	157988	32	134617	\spr\npcres\woman\FM_RH_153_AT11.spr
36CBFB0B	73899394	22583	32	17809	\spr\npcres\woman\FM_HD_153_WK06.spr
36D3C392	73917203	98851	32	81921	\spr\npcres\woman\FM_RW_198_HW01.spr
36DC6708	73999124	18951	32	11703	\spr\npcres\woman\FM_RH_134_ST03.spr
36EA81A9	74010827	49520	32	41542	\spr\npcres\man\MA_HR_150_JP01.spr
36EC09BF	74052369	38583	32	31552	\spr\npcres\man\MA_HR_135_AT07.spr
36F3D0EA	74083921	297069	32	193050	\spr\npcres\man\MA_BD_139_RD01.spr
36FBBCD5	74276971	101222	32	81456	\spr\npcres\woman\FM_RW_188_ST02.spr
36FBF895	74358427	109857	32	90205	\spr\npcres\woman\FM_RW_191_RN02.spr
37042976	74448632	45646	32	36744	\spr\npcres\man\MA_HD_131_JP01.spr
3728AC35	74485376	42564	32	33435	\spr\npcres\man\MA_HD_129_HM01.spr
372BE08F	74518811	233684	32	170765	\spr\npcres\man\MA_BD_139_ST06.spr
3733FF65	74689576	78540	32	61641	\spr\npcres\woman\FM_RW_195_ST02.spr
3757034D	74751217	24560	32	19497	\spr\npcres\woman\FM_LH_140_RN04.spr
376BBBD8	74770714	23334	32	18988	\spr\npcres\woman\FM_RH_143_AT07.spr
37700193	74789702	23241	32	17776	\spr\npcres\woman\FM_RH_131_WK03.spr
3776F544	74807478	33463	32	27631	\spr\npcres\man\MA_RH_140_AT04.spr
377ADAC8	74835109	17965	32	14388	\spr\npcres\woman\FM_RH_141_HI01.spr
379B5552	74849497	20255	32	13867	\spr\npcres\woman\FM_HD_131_ST04.spr
37BBCF91	74863364	159705	32	136706	\spr\npcres\woman\FM_BD_141_DE04.spr
37C531FD	75000070	143645	32	126287	\spr\npcres\man\MA_RW_188_AT04.spr
37D624B6	75126357	31795	32	22733	\spr\npcres\woman\FM_HR_129_HA02.spr
37E4F6F4	75149090	22755	32	19659	\spr\npcres\woman\FM_HR_153_DE04.spr
37EC43F0	75168749	234740	32	201754	\spr\npcres\man\MA_BD_130_AT05.spr
37FD0C1B	75370503	27997	32	22922	\spr\npcres\woman\FM_HR_141_ZZ01.spr
3807F78B	75393425	237778	32	171729	\spr\npcres\man\MA_BD_139_ST04.spr
3814A781	75565154	15372	32	13124	\spr\npcres\man\MA_HR_150_HI01.spr
3825D66F	75578278	29698	32	23726	\spr\npcres\man\MA_HR_129_ST06.spr
38312E24	75602004	48600	32	39347	\spr\npcres\man\MA_HD_138_AT02.spr
38343D16	75641351	28211	32	21664	\spr\npcres\woman\FM_LH_141_AT01.spr
3838EC32	75663015	69085	32	54075	\spr\npcres\woman\FM_RH_130_RN01.spr
3846CCD4	75717090	13972	32	11914	\spr\npcres\man\MA_HD_131_HI01.spr
38536D3F	75729004	184935	32	143708	\spr\npcres\woman\FM_BD_143_WK04.spr
385E17CB	75872712	22573	32	17774	\spr\npcres\woman\FM_HD_153_WK04.spr
