uid	offset	size	flag	csize	path
040632D5	4171664	42541	32	28488	\spr\npcres\woman\FM_RH_140_RD01.spr
04353796	4200152	2023	0	2023	\spr\item\equip\ring\obj-ring119.spr
04542984	4202175	26766	32	22807	\spr\npcres\woman\FM_HD_132_ZZ01.spr
0462F224	4224982	26728	32	22103	\spr\npcres\woman\FM_HD_142_HD01.spr
04683C5E	4247085	95359	32	51121	\spr\npcres\woman\FM_RW_197_MG03.spr
046A2685	4298206	26653	32	22267	\spr\npcres\man\MA_HD_137_IJ04.spr
0494801D	4320473	73304	32	63551	\spr\npcres\man\MA_RH_129_AT05.spr
049BCCED	4384024	32741	32	26670	\spr\npcres\man\MA_LH_140_MG02.spr
04A15B63	4410694	35489	32	29326	\spr\npcres\man\MA_HD_139_HA02.spr
04A7FE26	4440020	91332	32	67136	\spr\npcres\woman\FM_LH_132_ST04.spr
04BA4F6A	4507156	77800	32	64552	\spr\npcres\man\MA_LH_129_RN01.spr
04BAAB56	4571708	11355	32	9496	\spr\npcres\woman\FM_RH_131_IJ04.spr
04C0BCAF	4581204	21644	32	17710	\spr\npcres\woman\FM_HD_133_MG05.spr
04D344C9	4598914	21593	32	16262	\spr\npcres\woman\FM_RH_131_HR01.spr
04D6999A	4615176	86218	32	67547	\spr\npcres\man\MA_LH_139_HM01.spr
04EA519B	4682723	156464	32	138941	\spr\npcres\man\MA_LW_200_HD01.spr
04F046AA	4821664	43382	32	36784	\spr\npcres\man\MA_HR_140_DE02.spr
04FDEFE4	4858448	85079	32	68037	\spr\npcres\woman\FM_RW_200_HM01.spr
051BB9C2	4926485	189139	32	154837	\spr\npcres\woman\FM_BD_131_AT04.spr
052CDFE7	5081322	6054	32	5674	\spr\item\equip\armor\obj-ma-cloth146.spr
053B56C0	5086996	231581	32	162034	\spr\npcres\woman\FM_BD_134_HM01.spr
05433DF9	5249030	194816	32	146789	\spr\npcres\woman\FM_BD_140_HW01.spr
05521CEA	5395819	63781	32	54200	\spr\npcres\man\MA_HR_138_MG02.spr
0564965B	5450019	50342	32	42410	\spr\npcres\man\MA_LH_140_AT01.spr
056C5042	5492429	30585	32	23906	\spr\npcres\woman\FM_HR_141_HM01.spr
0574B3DC	5516335	31817	32	24344	\spr\npcres\woman\FM_LH_134_AT02.spr
057B2544	5540679	151882	32	130620	\spr\npcres\man\MA_RW_187_IJ04.spr
057B36A2	5671299	27183	32	20757	\spr\npcres\woman\FM_LH_140_ZZ01.spr
057CBB85	5692056	34794	32	28187	\spr\npcres\woman\FM_HR_130_MG05.spr
05A1566E	5720243	213905	32	179748	\spr\npcres\man\MA_RW_189_HA02.spr
05BEDBCD	5899991	34608	32	28965	\spr\npcres\man\MA_HD_128_HD01.spr
05CAE020	5928956	32208	32	25138	\spr\npcres\man\MA_HR_130_RN02.spr
05D79B53	5954094	21769	32	17628	\spr\npcres\woman\FM_LH_141_MG05.spr
05D7C6C5	5971722	39049	32	30550	\spr\npcres\man\MA_HR_150_WK02.spr
05DE012A	6002272	88341	32	62543	\spr\npcres\man\MA_LH_138_ST03.spr
05E89124	6064815	39467	32	33383	\spr\npcres\man\MA_HD_130_AT06.spr
05FA2799	6098198	107256	32	88359	\spr\npcres\man\MA_RH_130_HD01.spr
060E4D2C	6186557	58511	32	49432	\spr\npcres\man\MA_HR_140_DE03.spr
0611F36F	6235989	35389	32	29996	\spr\npcres\man\MA_LH_140_MG03.spr
0622B69F	6265985	102562	32	85787	\spr\npcres\man\MA_RH_129_AT06.spr
0622D833	6351772	85167	32	71100	\spr\npcres\man\MA_RW_192_HR01.spr
063075EC	6422872	77827	32	64660	\spr\npcres\man\MA_LH_129_RN02.spr
0645CFAD	6487532	61749	32	50339	\spr\npcres\man\MA_RW_194_IJ02.spr
0645D6DE	6537871	79803	32	64703	\spr\npcres\man\MA_LH_139_DE01.spr
064EF3E2	6602574	175849	32	138800	\spr\npcres\woman\FM_BD_131_AT05.spr
06600223	6741374	90119	32	62637	\spr\npcres\woman\FM_LH_130_RD01.spr
069083C2	6804011	184923	32	157868	\spr\npcres\man\MA_BD_131_ZZ01.spr
069CBD40	6961879	94066	32	69598	\spr\npcres\man\MA_LH_137_HW01.spr
069E8CD4	7031477	20942	32	15836	\spr\npcres\woman\FM_RH_129_AT01.spr
06BFCDFC	7047313	30844	32	25553	\spr\npcres\woman\FM_LH_134_AT03.spr
06C93EC4	7072866	143002	32	102876	\spr\npcres\man\MA_LH_130_ST01.spr
06D14CC6	7175742	24236	32	16362	\spr\npcres\woman\FM_LH_140_ST01.spr
06E12DA7	7192104	74852	32	65863	\spr\npcres\man\MA_LH_150_DE06.spr
06E8036C	7257967	62091	32	53753	\spr\npcres\man\MA_HR_138_MG03.spr
06F29CDD	7311720	47854	32	40114	\spr\npcres\man\MA_LH_140_AT02.spr
06FF1731	7351834	215199	32	190877	\spr\npcres\man\MA_LW_187_DE04.spr
073E3F60	7542711	27311	32	22143	\spr\npcres\man\MA_HR_131_HI01.spr
074096A2	7564854	32447	32	25341	\spr\npcres\man\MA_HR_130_RN03.spr
07492CDA	7590195	80534	32	70128	\spr\npcres\man\MA_HR_138_AT02.spr
075437AC	7660323	91068	32	62324	\spr\npcres\man\MA_LH_138_ST04.spr
075C9150	7722647	23141	32	18105	\spr\npcres\woman\FM_HD_153_RN02.spr
07616365	7740752	23325	32	18159	\spr\npcres\woman\FM_HD_141_MG02.spr
07667B43	7758911	180679	32	142418	\spr\npcres\woman\FM_BD_131_MG02.spr
076687A6	7901329	29596	32	25035	\spr\npcres\man\MA_HD_130_AT07.spr
076D56CD	7926364	45989	32	37417	\spr\npcres\woman\FM_LH_133_RN04.spr
076DCD47	7963781	39112	32	31165	\spr\npcres\man\MA_HR_150_WK03.spr
07706E48	7994946	16290	32	13140	\spr\npcres\woman\FM_RH_134_HI01.spr
0779D19D	8008086	35834	32	25962	\spr\npcres\man\MA_HD_135_RD01.spr
07847B85	8034048	33095	32	26851	\spr\npcres\woman\FM_HR_134_ZZ01.spr
078A83D5	8060899	70363	32	55914	\spr\npcres\man\MA_LH_138_HR01.spr
0791EE32	8116813	29080	32	22632	\spr\npcres\man\MA_HD_135_ST06.spr
07987500	8139445	33347	32	26086	\spr\npcres\man\MA_HD_131_WK03.spr
079A07D2	8165531	42554	32	30318	\spr\npcres\woman\FM_RH_142_ST05.spr
07A2B738	8195849	160821	32	134620	\spr\npcres\man\MA_BD_140_RN01.spr
07ADB683	8330469	221761	32	185305	\spr\npcres\man\MA_RW_186_DE03.spr
07B11311	8515774	142646	32	120529	\spr\npcres\woman\FM_BD_134_DE04.spr
07BC2FFD	8636303	36606	32	30243	\spr\npcres\woman\FM_HD_129_DE02.spr
07F128F3	8666546	28868	32	23933	\spr\npcres\woman\FM_HD_143_HA01.spr
07F51C11	8690479	93533	32	72139	\spr\npcres\man\MA_HR_128_ST01.spr
080E712C	8762618	5292	32	5085	\spr\item\equip\armor\obj-ma-cloth145.spr
081ECA78	8767703	294184	32	245996	\spr\npcres\man\MA_BD_135_HD01.spr
08275E88	9013699	36551	32	23371	\spr\npcres\woman\FM_RH_134_ST07.spr
082AA3EC	9037070	198203	32	164690	\spr\npcres\man\MA_RW_189_HA01.spr
0830874F	9201760	282216	32	229261	\spr\npcres\man\MA_BD_131_HA02.spr
08401AA8	9431021	122363	32	80349	\spr\npcres\man\MA_LH_138_ST02.spr
0852EAA2	9511370	29521	32	25104	\spr\npcres\man\MA_HD_130_AT05.spr
0859D043	9536474	39094	32	31125	\spr\npcres\man\MA_HR_150_WK01.spr
0887AB07	9567599	55459	32	42590	\spr\npcres\woman\FM_HR_143_WK04.spr
088DF53E	9610189	28850	32	22384	\spr\npcres\man\MA_HD_135_ST04.spr
08AD4133	9632573	25212	32	20687	\spr\npcres\woman\FM_LH_141_MG04.spr
08BCFDAE	9653260	32188	32	25220	\spr\npcres\man\MA_HR_130_RN01.spr
08D59F76	9678480	197608	32	161991	\spr\npcres\man\MA_BD_137_RN04.spr
08DB8FD1	9840471	215799	32	179191	\spr\npcres\woman\FM_BD_134_DE02.spr
08F4580C	10019662	33302	32	26087	\spr\npcres\man\MA_HD_131_WK01.spr
08F7C28D	10045749	43116	32	36115	\spr\npcres\woman\FM_LH_133_RN02.spr
090585BA	10081864	36201	32	28692	\spr\npcres\man\MA_HD_139_WK04.spr
0910B64F	10110556	35405	32	28759	\spr\npcres\man\MA_LH_140_RN04.spr
0923ED3E	10139315	186349	32	149972	\spr\npcres\woman\FM_BD_153_HA01.spr
0927CDAB	10289287	81665	32	68946	\spr\npcres\man\MA_RH_129_MG04.spr
092C4167	10358233	26832	32	21665	\spr\npcres\man\MA_HD_135_HR01.spr
092CB392	10379898	42706	32	27068	\spr\npcres\woman\FM_RH_142_ST03.spr
0937736C	10406966	106010	32	85142	\spr\npcres\man\MA_RW_199_HW01.spr
09399F59	10492108	60004	32	47872	\spr\npcres\man\MA_HD_129_DE04.spr
09460D81	10539980	17964	32	15239	\spr\npcres\man\MA_HD_137_IJ02.spr
095CDA8A	10555219	25540	32	18260	\spr\npcres\woman\FM_LH_129_HM01.spr
0961AA1A	10573479	120718	32	97981	\spr\npcres\man\MA_RW_192_ST01.spr
0964516F	10671460	56033	32	47485	\spr\npcres\man\MA_RH_131_DE04.spr
09809719	10718945	85441	32	72916	\spr\npcres\man\MA_RH_129_AT03.spr
098B03F4	10791861	49973	32	40138	\spr\npcres\man\MA_HR_140_HM01.spr
09C856FC	10831999	206639	32	168531	\spr\npcres\man\MA_RW_185_HR01.spr
09CA6AE6	11000530	62268	32	44322	\spr\npcres\woman\FM_LH_132_ST02.spr
09CDC716	11044852	17737	32	13529	\spr\npcres\woman\FM_RH_131_IJ02.spr
09E4A1C3	11058381	77464	32	56701	\spr\npcres\woman\FM_LH_135_HW01.spr
09EF4D6E	11115082	53626	32	44525	\spr\npcres\woman\FM_HR_130_AT06.spr
0A024E8E	11159607	32927	32	23609	\spr\npcres\man\MA_HD_131_WK02.spr
0A0995DD	11183216	31671	32	26076	\spr\npcres\woman\FM_HD_129_DE01.spr
0A0ED9F1	11209292	149368	32	123239	\spr\npcres\woman\FM_BD_134_DE03.spr
0A1BFBB0	11332531	29025	32	22899	\spr\npcres\man\MA_HD_135_ST05.spr
0A2A4730	11355430	22975	32	18161	\spr\npcres\woman\FM_HD_153_RN01.spr
0A332123	11373591	181701	32	149049	\spr\npcres\woman\FM_BD_131_MG01.spr
0A332658	11522640	89507	32	78589	\spr\npcres\man\MA_HR_138_AT01.spr
0A3640A9	11601229	22765	32	17677	\spr\npcres\woman\FM_HR_133_HI01.spr
0A3A1CAD	11618906	41773	32	35372	\spr\npcres\woman\FM_LH_133_RN03.spr
0A3E2945	11654278	23271	32	18812	\spr\npcres\woman\FM_HD_141_MG01.spr
0A56275E	11673090	215074	32	160136	\spr\npcres\woman\FM_BD_153_HA02.spr
0A57CDB2	11833226	64694	32	45758	\spr\npcres\woman\FM_RH_142_ST04.spr
